,index,Unnamed: 0,Idx,Gender_bins,Preds
0,0,0.0,11651.0,0.0,93.9509506225586
1,1,1.0,5248.0,0.0,93.9509506225586
2,2,2.0,5323.0,0.0,93.88996887207033
3,3,3.0,9283.0,0.0,93.88150024414062
4,4,7.0,4874.0,0.0,93.84954833984376
5,5,4.0,1089.0,0.0,93.84954833984376
6,6,5.0,8982.0,0.0,93.84954833984376
7,7,6.0,12328.0,0.0,93.84954833984376
8,8,8.0,6991.0,0.0,93.84954833984376
9,9,9.0,6927.0,0.0,93.84954833984376
10,10,10.0,2607.0,0.0,93.84954833984376
11,11,0.0,8352.0,0.0,93.7993621826172
12,12,0.0,9705.0,0.0,93.78585052490234
13,13,12.0,4333.0,0.0,93.77806854248048
14,14,11.0,8877.0,0.0,93.77806854248048
15,15,1.0,10992.0,1.0,93.66413116455078
16,16,4.0,8492.0,1.0,93.66413116455078
17,17,10.0,5129.0,1.0,93.62505340576172
18,18,9.0,7354.0,1.0,93.62505340576172
19,19,20.0,5673.0,1.0,93.6165771484375
20,20,13.0,7789.0,1.0,93.6165771484375
21,21,11.0,7354.0,1.0,93.60763549804688
22,22,12.0,9961.0,1.0,93.54804229736328
23,23,13.0,6070.0,1.0,93.54804229736328
24,24,7.0,8492.0,1.0,93.45010375976562
25,25,13.0,6070.0,1.0,93.43869018554688
26,26,6.0,11651.0,0.0,93.7511749267578
27,27,5.0,7352.0,0.0,93.7511749267578
28,28,9.0,6236.0,0.0,93.7511749267578
29,29,4.0,5027.0,0.0,93.7511749267578
30,30,10.0,12003.0,0.0,93.7511749267578
31,31,3.0,7126.0,0.0,93.7511749267578
32,32,1.0,10096.0,0.0,93.7511749267578
33,33,2.0,1089.0,0.0,93.7511749267578
34,34,11.0,8982.0,0.0,93.7511749267578
35,35,8.0,5576.0,0.0,93.7511749267578
36,36,7.0,11871.0,0.0,93.7511749267578
37,37,4.0,5576.0,0.0,93.7397689819336
38,38,3.0,4835.0,0.0,93.7397689819336
39,39,8.0,12003.0,0.0,93.7397689819336
40,40,5.0,5376.0,0.0,93.7397689819336
41,41,13.0,6070.0,1.0,93.43869018554688
42,42,11.0,9480.0,1.0,93.43869018554688
43,43,10.0,5673.0,1.0,93.43869018554688
44,44,14.0,622.0,1.0,93.43869018554688
45,45,12.0,7485.0,1.0,93.43869018554688
46,46,15.0,8492.0,1.0,93.43869018554688
47,47,13.0,7354.0,1.0,93.4190444946289
48,48,9.0,10992.0,1.0,93.4190444946289
49,49,10.0,6070.0,1.0,93.4190444946289
50,50,12.0,8492.0,1.0,93.4190444946289
51,51,11.0,5129.0,1.0,93.4190444946289
52,52,6.0,11544.0,0.0,93.7397689819336
53,53,7.0,11871.0,0.0,93.7397689819336
54,54,1.0,8877.0,0.0,93.7397689819336
55,55,2.0,5027.0,0.0,93.7397689819336
56,56,13.0,6641.0,0.0,93.71890258789062
57,57,0.0,4333.0,0.0,93.6729965209961
58,58,6.0,12063.0,0.0,93.66413116455078
