,index,Unnamed: 0,Idx,Gender_bins,Preds
0,0,0.0,12028.0,0.0,92.7999038696289
1,1,1.0,7510.0,0.0,92.78958129882812
2,2,2.0,1089.0,0.0,92.78958129882812
3,3,3.0,11651.0,0.0,92.78958129882812
4,4,4.0,12328.0,0.0,92.78958129882812
5,5,5.0,12016.0,0.0,92.78958129882812
6,6,6.0,12018.0,1.0,92.78638458251952
7,7,7.0,8893.0,0.0,92.6794891357422
8,8,8.0,11861.0,1.0,92.62873077392578
9,9,9.0,11864.0,1.0,92.59281158447266
10,10,10.0,12112.0,0.0,92.5877685546875
11,11,11.0,4900.0,0.0,92.3619613647461
12,12,12.0,7342.0,1.0,92.26044464111328
13,13,13.0,4874.0,0.0,92.16580200195312
14,14,14.0,12063.0,0.0,92.06275177001952
15,15,15.0,8905.0,0.0,92.06275177001952
16,16,16.0,11800.0,0.0,92.06275177001952
17,17,17.0,9055.0,1.0,91.93688201904295
18,18,18.0,11701.0,1.0,91.93688201904295
19,19,19.0,11188.0,1.0,91.93688201904295
20,20,20.0,10363.0,1.0,91.8785629272461
21,21,21.0,7690.0,0.0,91.85423278808594
22,22,22.0,11642.0,0.0,91.85423278808594
23,23,23.0,11145.0,0.0,91.84391021728516
24,24,24.0,8479.0,0.0,91.84391021728516
25,25,25.0,4348.0,0.0,91.78559112548828
26,26,26.0,4293.0,0.0,91.77642059326172
27,27,27.0,2131.0,0.0,91.74774169921876
28,28,28.0,2137.0,0.0,91.74600219726562
29,29,29.0,8770.0,0.0,91.7290267944336
30,30,30.0,5611.0,0.0,91.7290267944336
31,31,31.0,11903.0,0.0,91.69409942626952
32,32,32.0,11239.0,1.0,91.6830596923828
33,33,33.0,9682.0,0.0,91.67070770263672
34,34,34.0,1831.0,0.0,91.64209747314452
35,35,35.0,8337.0,0.0,91.64209747314452
36,36,36.0,2744.0,0.0,91.6328582763672
37,37,37.0,11260.0,1.0,91.5782241821289
38,38,38.0,637.0,0.0,91.56355285644533
39,39,39.0,4350.0,0.0,91.54450225830078
40,40,53.0,834.0,1.0,91.14964294433594
41,41,56.0,12067.0,1.0,91.07184600830078
42,42,62.0,8492.0,1.0,90.86783599853516
43,43,65.0,7419.0,1.0,90.7108917236328
44,44,64.0,4386.0,1.0,90.7108917236328
45,45,74.0,1066.0,1.0,90.57289123535156
46,46,76.0,7490.0,1.0,90.54182434082033
47,47,84.0,2308.0,1.0,90.44837951660156
48,48,86.0,8160.0,1.0,90.424560546875
49,49,91.0,2373.0,1.0,90.3739776611328
50,50,40.0,10318.0,0.0,91.52721405029295
51,51,41.0,7235.0,0.0,91.52721405029295
52,52,42.0,4002.0,0.0,91.52278137207033
